FName,LName,AreaCode,Phone,City,State,Zip,MaritalStatus,HasChild,Salary,RateDOUBLE,SingleExemp,ChildExemp
HweeHwa,Granlund,202,135-1986,WASHINGTON,DC,20306,M,Y,86500,9,0,1370
Christopher,Azulay,405,159-1992,UNION CITY,OK,73090,S,Y,67500,6.25,1000,1000
Ethan,Lamont,234,145-1059,KENT,OH,44240,S,N,5500,0.72859746,1300,0
Svetozara,Groger,443,111-1152,TILGHMAN,MD,21671,S,N,88500,4.75,2400,0
Seongmoon,Purvy,617,193-2019,AMHERST,MA,1004,S,N,51500,5.3,3575,0
Philippos,Schahn,334,110-1826,HIGHLAND HOME,AL,36041,M,N,31500,5,0,0
Akihito,Pirk,320,168-1737,LA SALLE,MN,56056,S,N,40000,6.3900213,3300,0
Jill,Dupuy,763,144-1041,HOMER,MN,55942,S,Y,10500,5.35,3300,3300
Jinjuan,Werling,864,102-1607,NORTH FORT MYERS,NV,29911,S,Y,6000,4.001459,3300,3300
Minghui,Viles,860,139-1464,NEW HAVEN,CT,6531,M,Y,96500,5,0,0
Jorma,Heyers,407,166-1557,HIALEAH,FL,33012,S,N,30000,0,0,0
Keki,Kreutz,916,199-1963,TRAVER,CA,93673,M,N,54500,9.3,0,0
Huizhu,Mikschl,302,138-2041,NEWARK,DE,19711,M,N,500,2.2,0,0
Marko,Onuegbe,405,126-1236,OKLAHOMA CITY,OK,73113,S,N,35500,6.25,1000,0
Mirek,Bitz,218,118-1642,MOUNTAIN IRON,MN,55768,M,N,26500,5.669637,0,0
Radenko,Boizumault,787,157-1576,ALMONT,PR-typoCT,737,M,Y,36000,0,0,0
Shohji,Flotzinger,612,168-1583,NEW MUNICH,MN,56356,M,N,13000,5.35,0,0
Rabin,Moshiri,435,101-1554,TORREY,UT,84775,M,N,19000,7,0,0
Keith,Dougan,617,160-1595,NORTH CHATHAM,MA,2650,M,Y,63000,5.3,0,1000
Seungwang,Meguro,253,167-1467,SEATTLE,WA,98102,S,N,80500,0,0,0
Loius,Starr,334,119-1361,GADSDEN,AL,35903,S,Y,79500,5,1500,300
Michio,Ilgun,985,184-1424,ACME,LA,71316,S,N,73500,6,4500,0
Kunle,Chuat,939,107-1610,NORTH FORT MYERS,PR-typoCT,949,S,N,10500,0,0,0
Dipanwita,Rieu,715,180-2069,FENCE,WI,54120,M,Y,17500,4.7504687,0,400
Rongdong,Loncour,402,195-2086,WHITNEY,NE,69367,M,N,66500,6.84,0,0
Guangwei,Weigand,971,116-1027,WINSTON,OR,97496,S,Y,96000,9,159,159
Emma,Ponighaus,401,107-1887,KENYON,RI,2836,S,Y,44500,0,0,0
Object,Carboni,862,143-1425,CALDWELL,NJ,7007,M,Y,8500,1.4,0,1500
Guri,Pedersen,607,127-1568,DUNDEE,NY,14837,M,N,97000,4.5155487,0,0
Daisy,Kadur,803,132-1718,CLEMSON,SC,29631,S,Y,18000,7,3300,3300
Jianxun,Poltrock,574,156-1049,LAWRENCEBURG,IN,47025,S,N,83000,3.4,1000,0
Jerri,Kornyak,702,188-2098,SLOAN,NV,89054,S,Y,50500,0,0,0
Mones,Boshuizen,580,161-1662,KREBS,OK,74554,M,Y,38500,6.25,0,1000
Tianji,Szablak,561,175-1795,ORLANDO,FL,32830,S,Y,76000,0,0,0
Shozo,Steffens,757,178-1831,RICHMOND,VA,23293,M,Y,90000,5.75,0,900
Vishal,McDonald,803,193-1419,COLUMBIA,SC,29240,S,Y,10500,5.9713035,3300,3300
Shamim,Liddle,985,138-1753,BATON ROUGE,LA,70874,M,Y,46000,6,0,1000
Kexiang,Saltman,412,114-1917,GETTYSBURG,PA,17326,S,N,91500,3.07,0,0
Kensuke,Levcopoulos,601,158-1772,WOODLAND,MS,39776,S,N,6000,3.4,6000,0
Masoud,Pfeifer,479,126-1576,FORT SMITH,AR,72914,S,Y,32500,7,20,20
Yordan,Peak,843,188-1907,LANE,SC,29564,S,N,28500,7,3300,0
Vincenza,Babel,207,180-1397,SUNSET,ME,4683,S,Y,35000,8.5,2850,2850
Rusong,Zochling,302,118-1402,MILLVILLE,DE,19967,M,N,66000,5.95,0,0
Qiang,Angster,939,184-1066,PONCE,PR,731,M,N,6000,0,0,0
Aelmut,Shinomoto,307,129-1353,CHEYENNE-typoHARTMAN,GA,82007,S,N,59000,0,0,0
Shaunak,Buitenhuis,215,111-1440,PLEASANT UNITY,PA,15676,M,Y,96500,3.07,0,0
Kalyanmoy,Sahnmugasundaram,585,192-1854,GREAT NECK,NY,11023,S,Y,81000,4.422866,0,1000
Nageshwar,Bettayeb,907,104-1871,NORTH POLE,AK,99705,M,Y,62500,0,0,0
Hayato,Weerasinghe,541,181-2064,CRESCENT,OR,97733,M,Y,24000,9,0,159
Swaminathan,McIlraith,618,185-1961,RALEIGH,IL,62977,M,Y,35000,3,0,2000
Jintae,Galand,401,108-1793,HARTMAN,CT,2878,S,Y,80000,0,0,0
Leslie,Boy,304,172-1091,NEW RICHMOND,WV,24867,M,Y,66500,6.5,0,2000
Maneesh,Shephard,603,115-1345,FRANCONIA,NH,3580,M,N,34000,0,0,0
Bader,Babin,251,128-2028,UNIONTOWN,AL,36786,S,N,39500,5,1500,0
Leni,Barr,716,121-2029,WESTBURY,NY,11594,M,Y,30500,4.1303353,0,1000
Detmar,Hailpern,304,158-1523,VAN,WV,25206,S,Y,41000,5.17,2000,2000
Hanqing,Cassel,217,101-1324,ANTIOCH,IL,60002,M,N,51500,3,0,0
Detlef,Agarawala,662,111-1420,PRAIRIE,MS,39756,M,N,63500,5,0,0
Akiniro,Noye,947,199-1021,NORTH FORT MYERS,IA,48231,M,N,56000,3.9,0,0
Kuniji,Yershov,571,179-1518,FORT MONROE,VA,23651,S,Y,86000,5.75,900,900
Tibor,Lismont,860,124-2008,WATERBURY,CT,6701,S,N,9000,3,12750,0
Philippe,Myers,609,102-1553,FAR HILLS,NJ,7931,M,N,99000,2.645896,0,0
Winfried,Litecky,479,139-1261,ALMONT,GA,72015,M,N,11000,2.8168998,0,0
Keiki,Rebizant,228,153-2006,GULFPORT,MS,39507,M,N,32500,5,0,0
Chihei,Kottmann,701,180-1449,ALMONT,MI,58731,S,Y,61000,2.4628372,3300,3300
Akila,Welcome,808,158-1677,HONOLULU,HI,96810,S,Y,8000,2.4815788,1040,1040
Tokuji,Baayen,208,138-1432,HAILEY,ID,83333,S,N,50000,7.8,3300,0
Merik,Vines,801,128-1578,SYRACUSE,UT,84075,S,N,11500,7,2475,0
Sarnath,Sherrell,810,138-1158,ROCK,MI,49880,S,N,3000,3.9,3100,0
Yossi,Jelonek,603,192-1257,ASHUELOT,NH,3441,M,Y,74000,0,0,0
Alassane,Baudin,907,107-1159,FAIRBANKS,AK,99710,M,N,79000,0,0,0
Yurii,Pesotchinsky,706,191-1524,UNION CITY,GA,30291,M,N,82500,6,0,0
Ikuyo,Pietrzak,267,168-2030,CARROLLTOWN-typoNORTH FORT MYERS,PA-typoWV,15722,S,N,16500,3.07,0,0
Elisha,Tzannes,435,193-1733,ALMONT,UT-typoWV,84755,S,N,95500,7,2475,0
Puthirak,Hofer,706,172-2086,ATLANTA,GA,30338,M,N,5000,4.4,0,0
Ahish,Ersoy,307,145-1636,HULETT,WY,82720,S,Y,68000,0,0,0
Sjaak,Mackay,605,164-1976,MISSION HILL,SD,57046,M,Y,47500,0,0,0
Eamon,Chubarov,701,171-1063,LIDGERWOOD,ND,58053,S,Y,35500,2.167235,3300,3300
Pro,Czap,412,161-2066,PARADISE,PA,17562,S,N,38500,3.07,0,0
Sulamita,Rubin,440,117-1817,CORNING,OH,43730,M,Y,14500,1.0273513,0,1300
Zoe,Krauser,610,140-1862,TAYLOR,PA,18517,S,N,45500,3.07,0,0
Bai,Harnpanichpun,785,139-2037,TOPEKA,KS,66624,M,N,65000,6.45,0,0
Ludwik,Murdoch,785,164-1395,MILFORD,KS,66514,S,Y,72000,6.45,2250,2250
Simin,Gerlich,406,154-1541,BLOOMFIELD,MT,59315,M,Y,92500,6.9,0,1900
Farzin,Kitano,773,164-1895,NORTH AURORA,IL,60542,M,Y,18000,3,0,2000
Xiaohan,Troxel,207,173-1640,SANDY POINT,ME,4972,M,N,2000,2,0,0
Francesco,Uchiyama,574,170-1787,FLORENCE,IN,47020,S,Y,48000,3.4,1000,1000
Venu,Edupuganty,480,129-1341,FORT THOMAS,AZ,85536,S,N,5000,2.87,2100,0
Jooseok,Ruane,318,194-1685,MOUNT AIRY,LA,70076,M,Y,88000,6,0,1000
Praful,Hylton,517,149-1762,DETROIT,MI,48204,S,Y,91500,3.9,3100,3100
Analia,Gubsky,606,131-2041,FEDSCREEK-typoALMONT,GA,41524,S,Y,13500,2.5833333,20,20
Xiaoshan,Leiva,205,135-1560,SWEET WATER,AL,36782,S,N,16500,5,1500,0
Shunge,Lovelady,334,182-1243,THEODORE,AL,36582,M,Y,39000,5,0,300
Guenter,Mistelberger,417,161-1875,DIAMOND,MO,64840,M,Y,68500,6,0,1200
Souichi,Mellouli,757,127-1770,FREDERICKSBURG,VA,22408,S,Y,65000,5.75,900,900
Bjajesh,Zirkelbach,304,127-1557,MCMECHEN,WV,26040,M,N,40500,5.135,0,0
Toralf,Gose,712,108-1107,CASTANA,IA,51010,M,N,58000,8.98,0,0
Sieger,Nemani,405,187-1234,WANETTE,OK,74878,S,N,86500,6.25,1000,0
Maury,Costake,304,124-1004,WHARNCLIFFE,WV,25651,S,Y,8000,3,2000,2000
Jiazhen,Hogan,515,177-2000,IOWA FALLS,IA,50126,S,N,7500,1.3219289,40,0
Hyungill,Bus,970,153-1484,MONARCH-typoNORTH FORT MYERS,CO-typoIA,81227,M,N,83000,4.63,0,0
Salah,Schlumberger,602,144-1447,CLARKDALE,AZ,86324,M,N,31500,3.20325,0,0
Samual,Parisotto,719,147-1102,NIWOT,CO,80544,S,N,86500,4.63,0,0
Niamh,Awong,580,157-2048,NINNEKAH,OK,73067,M,Y,9000,5.611111,0,1000
Naji,Bramson,213,113-1726,VAN NUYS,CA,91497,S,Y,19500,4.1117325,87,272
Zerksis,Rain,787,170-1807,ARECIBO,PR,612,M,N,6000,0,0,0
Xiulin,Prabhakar,571,155-1698,HOT SPRINGS,VA,24445,M,N,32000,5.75,0,0
Fun,Kale,808,107-1325,HONOLULU,HI,96823,S,Y,6500,2.2111843,1040,1040
Nachum,Flatt,918,123-1897,TEXHOMA,OK,73949,M,N,34000,6.25,0,0
Subhada,Steigerwald,925,142-1264,LOS ANGELES,CA,90082,M,N,77000,9.3,0,0
Fumihiko,Lattin,217,173-1769,ROCHESTER,IL,62563,M,Y,52500,3,0,2000
Raimo,Kohri,702,127-1123,HENDERSON,NV,89015,M,Y,97000,0,0,0
Debashish,Gellerich,406,127-1004,GARDINER,MT,59030,S,N,2500,1.1017241,1900,0
Carron,Goel,907,184-1267,JUNEAU,AK,99850,S,Y,18000,0,0,0
Ramamohanrao,Lanzelotte,715,107-1278,MC FARLAND,WI,53558,M,N,4500,4.6,0,0
Kamyar,Meinke,208,123-1490,NOTUS,ID,83656,S,Y,87500,7.8,3300,3300
Kunihiko,Rabi,402,173-1903,LINCOLN,NE,68502,M,Y,71000,6.84,0,103
Henda,Cavin,802,169-1228,AVERILL,VT,5901,M,Y,27500,3.6,0,3300
Gour,Lehtovaara,206,138-1181,HOOPER,WA,99333,S,Y,71500,0,0,0
Hausi,Rokusawa,502,102-1824,FORT KNOX,KY,40121,M,Y,69000,5.666667,0,20
Ragui,Beth,701,147-1556,MCCLUSKY,ND,58463,S,N,4500,2.1,3300,0
Oded,McDonnell,415,121-1970,SACRAMENTO,CA,94290,S,N,73000,9.3,87,0
Andree,Presttun,939,174-1184,MOCA,PR,676,M,N,54000,0,0,0
Kjell,Habasinski,256,112-1787,MOBILE,AL,36640,S,Y,81000,5,1500,300
Rehmi,Zhang,307,148-1239,ALMONT,WV,82432,M,N,11500,0,0,0
Mayer,Normoyle,605,114-2043,RIDGEVIEW,SD,57652,M,N,87500,0,0,0
Serban,Faris,252,143-1886,WINSTON SALEM,NC,27107,S,Y,77000,7.3479023,3300,3300
Agata,Kunchithapadam,307,175-1824,MADISON LAKE,IA,82420,S,N,88000,0,0,0
Okihiko,Ali,201,199-1352,MICKLETON,NJ,8056,S,N,68000,2.157,1000,0
Uli,Slaman,901,123-1128,TENNESSEE RIDGE,TN,37178,S,Y,14500,0,0,0
Clyde,Bernick,801,106-1214,RUSH VALLEY,UT,84069,S,N,69000,7,2475,0
Yoko,Harrang,606,102-2045,PORT ROYAL,KY,40058,M,N,17000,2.7777777,0,0
Agostinho,Krieger,262,100-1846,BLUE RIVER,WI,53518,S,Y,76500,5.7756023,700,400
Dafna,Hoogewijs,931,146-1674,JOHNSON CITY,TN,37605,S,N,95000,0,0,0
Jega,Faltenbacher,610,162-1069,DRY RUN,PA,17220,M,N,55000,3.07,0,0
Takayuki,Bencher,502,164-2093,BRADFORDSVILLE,KY,40009,M,N,65000,5.4444447,0,0
Sugih,Razum,505,181-1961,UTE PARK,NM,87749,M,Y,55000,5.3,0,3300
Gesine,Kinney,201,197-1114,CHANGEWATER,NJ,7831,M,Y,29000,1.5419375,0,1500
Yosee,Giradot,925,168-2042,NORTH FORT MYERS,NV,95867,M,N,47000,9.3,0,0
Joon,Magnusson,952,196-1750,LAKEVILLE,MN,55044,S,N,68500,7.85,3300,0
Arjen,Luther,740,103-1193,VINCENT,OH,45784,S,N,39500,1.8572232,1300,0
Ajoy,Stomenovic,620,156-1164,BUCKLIN,KS,67834,M,Y,14500,3.5,0,2250
Igal,Papelis,609,142-1100,HOPEWELL,NJ,8525,S,Y,69500,2.1806562,1000,1500
Okihiko,Graber,254,160-1784,GORMAN,TX,76454,M,Y,51500,0,0,0
Azzam,Battaglia,432,163-2076,CORSICANA,TX,75110,M,N,48000,0,0,0
Utz,Ruthven,317,155-1161,INDIANAPOLIS,IN,46219,S,Y,5000,3.4,1000,1000
Moses,Roantree,682,117-1307,SPRING,TX,77382,M,Y,18000,0,0,0
Weixiong,Cassez,203,190-1566,HARTFORD,CT,6176,S,N,51000,5,12750,0
Ruogu,Clouse,320,172-2012,WELLS-typoALMONT,MN-typoIA,56097,S,Y,9000,5.35,3300,3300
Lambert,Kubiak,603,102-1690,WOLFEBORO,NH,3894,M,N,75500,0,0,0
Bhu,McKinnon,801,164-1350,THOMPSON,UT,84540,M,Y,49000,7,0,2475
Jiajie,Godskesen,618,169-1281,CHICAGO,IL,60623,M,N,34500,3,0,0
Tatsuji,Hsiang,225,143-1096,SHREVEPORT,LA,71106,M,Y,17000,3.44,0,1000
Lubos,Hogge,939,177-1302,SALINAS,PR,751,M,N,78000,0,0,0
Kevan,Berbec,701,189-1356,HORACE,ND,58047,S,N,49500,2.3295264,3300,0
Arnaldo,Waack,256,158-1430,MONTGOMERY,AL,36103,S,Y,98000,5,1500,300
TRUE,Schuster,410,141-1767,ANNAPOLIS,MD,21409,S,Y,73500,4.75,2400,2400
Klas,Asmussen,812,157-1030,ATHENS,IN,46912,M,Y,29000,3.4,0,1000
Caolyn,Eidelson,701,191-1084,WILDROSE,ND,58795,S,Y,10500,2.1,3300,3300
Yinghua,Karuno,203,159-1297,DANBURY,CT,6814,M,Y,12500,5,0,0
Seongtaek,Ettl,973,159-2093,NORTH FORT MYERS,NJ-typoWV,8071,M,N,98500,2.6380105,0,0
Ingrid,Pirenne,706,143-1695,ATLANTA,GA,30354,M,N,71500,6,0,0
Sarmad,Dairaine,540,142-1044,FALLS CHURCH,VA,22043,M,Y,17500,5.75,0,900
Linhui,Vlachantonis,805,128-2045,PRINCETON,CA,95970,M,Y,56000,9.3,0,272
Zhiping,Erva,202,142-2025,WASHINGTON,DC,20431,S,Y,5000,4.5,1370,1370
Hichul,Rosiles,570,150-1888,PALMYRA,PA,17078,M,N,78000,3.07,0,0
Satyamurthy,Maiocchi,901,149-1692,TREZEVANT,TN,38258,M,Y,45500,0,0,0
Reini,Siriboon,605,178-2092,BALTIC,SD,57003,S,Y,57500,0,0,0
Petrisor,Roussille,308,181-1705,RED CLOUD,NE,68970,S,Y,15500,4.886473,103,103
Moiez,Borstler,319,115-1892,LUTHER,IA,50152,S,Y,9000,1.5534958,40,40
Bharadwaj,Latil,228,178-1696,HEIDELBERG,MS,39439,M,Y,88500,5,0,1500
Amit,Nozaki,937,177-1343,TIPPECANOE,OH,44699,M,N,85500,3.3841872,0,0
Marit,Smeets,406,197-1359,ROLLINS,MT,59931,S,Y,12500,6.187931,1900,1900
Youngmok,Bravoco,210,120-1417,LUBBOCK,TX,79415,M,N,75500,0,0,0
Edoardo,Jeris,814,108-1841,ELGIN,PA,16413,S,N,47000,3.07,0,0
Rohini,Sessa,206,155-2034,ROCHESTER,WA,98579,M,N,48500,0,0,0
King,Kaye,435,162-1115,HINCKLEY,UT,84635,M,Y,12000,7,0,2475
Raimond,Manara,202,170-1193,WASHINGTON,DC,20232,M,Y,50500,9,0,1370
Vivienne,Koponen,802,140-1611,WEST PAWLET,VT,5775,S,N,30500,3.6119373,3300,0
Zongyan,Segond,775,126-1421,CARLIN,NV,89822,S,N,61500,0,0,0
Dirk,Ferhatosmanoglu,787,194-1416,MADISON LAKE,PR-typoWV,637,M,Y,70000,0,0,0
Vimla,Herlihy,229,128-1040,COLUMBUS,GA,31906,S,Y,39000,6,2700,3000
Nadir,Marshall,208,146-1305,POCATELLO,ID,83209,M,Y,91500,7.8,0,3300
Zuoquan,Grayson,505,102-2086,CARLSBAD,NM,88220,S,Y,37000,5.3,3300,3300
Kamel,Omicini,947,127-1440,FARMINGTON,MI,48334,M,N,98500,3.9,0,0
Ramachendra,Lidinsky,928,174-1799,CASA GRANDE,AZ,85294,M,Y,48500,3.46675,0,2300
Fong,Culpepper,910,110-1248,ZEBULON,NC,27597,S,Y,54000,6.8653846,3300,3300
Raghunandan,Beetem,606,181-2025,LONDON-typoLA VETA,KY-typoWV,40742,S,Y,94500,6,20,20
Yeonghwan,LeThanh,947,147-1514,TROY,MI,48084,S,N,49000,3.9,3100,0
Kazuyoshi,Khadilkar,801,111-1124,DRAPER,UT,84020,S,Y,95500,7,2475,2475
Didar,Marchok,860,128-1124,DANBURY,CT,6813,S,Y,9500,3,12750,0
Gareth,Sancho,775,119-1600,VERDI,NV,89439,M,N,68500,0,0,0
Tirtza,Rauch,857,154-1600,SPRINGFIELD,MA,1115,S,Y,94500,5.3,3575,1000
Kristof,Abeta,859,149-1779,NEBO,KY,42441,M,Y,80000,6,0,20
Winfried,Motschnig,847,181-2027,POPLAR GROVE,IL,61065,S,Y,55000,3,2000,2000
Guoray,Armand,352,196-1111,EL JOBEAN,FL,33927,M,N,87500,0,0,0
Kimihiro,Asrin,720,181-1050,SAN LUIS,CO,81152,S,Y,22500,4.63,0,0
Michial,Reith,660,154-1358,BRAYMER,MO,64624,M,N,4500,3.46875,0,0
Yeshayahu,Steigerwald,701,100-1997,KARLSRUHE,ND,58744,S,Y,4500,2.1,3300,3300
Sherman,Bardell,907,165-1777,HOPE,AK,99605,S,N,67500,0,0,0
Haidar,Padubidri,504,121-1341,ESTHERWOOD,LA,70534,S,Y,15500,2.96,4500,1000
Eiju,Kranakis,919,103-1644,SPRUCE PINE,NC,28777,M,Y,14000,6.0262237,0,3300
Huai,Mikou,864,123-1003,WARRENVILLE,SC,29851,M,N,15000,7,0,0
Yuguo,Freundschuh,808,185-1694,MAKAWAO,HI,96768,S,N,4000,1.7605263,1040,0
Vilena,Lachiche,918,136-1652,ARNETT,OK,73832,M,Y,41000,6.25,0,1000
Gabriel,Tullis,203,175-1118,OLD SAYBROOK,CT,6475,S,N,83000,5,12750,0
Cornelius,Mercer,480,111-1023,WITTMANN,AZ,85361,M,Y,76500,3.90075,0,2300
Yadran,Banh,270,170-1536,VERSAILLES,KY,40383,M,Y,96500,6,0,20
Makiki,Zonta,971,181-1338,GILCHRIST,OR,97737,M,N,65500,9,0,0
Kahoru,Hoene,307,142-2083,JAY EM,WY,82219,M,Y,13000,0,0,0
Hariolf,Holtman,939,190-1377,SAN JUAN,PR,927,S,Y,44500,0,0,0
Nava,Deswarte,907,108-1922,SHUNGNAK,AK,99773,S,Y,6500,0,0,0
Serdar,Ambroszkiewicz,401,129-1195,BLOCK ISLAND,RI,2807,S,Y,95000,0,0,0
Antoon,Stanger,443,152-1823,BALTIMORE,MD,21206,S,N,72500,4.75,2400,0
Agenor,Arentze,603,150-1531,SOUTH SUTTON,NH,3273,S,N,45500,0,0,0
Hassane,Rosenbohm,802,119-1764,NEWPORT CENTER,VT,5857,S,N,12000,3.6,3300,0
Gholamali,Nawawi,503,157-2088,WALTON,OR,97490,S,N,46500,9,159,0
Amani,Breuleux,208,135-2090,REXBURG,ID,83440,M,N,44500,7.8,0,0
Margaret,Khamare,817,126-1503,DALLAS,TX,75254,M,Y,58500,0,0,0
Behrooz,Feger,775,134-1285,LAS VEGAS,NV,89195,M,Y,4500,0,0,0
Yannik,Stuckle,270,171-1653,GLENS FORK,KY,42741,S,Y,90000,6,20,20
Bhuwan,Sollner,435,104-1927,MANTUA,UT,84324,S,Y,4000,6.573594,2475,2475
Manual,Streng,252,151-1608,SPEED,NC,27881,S,Y,18500,6.1206293,3300,3300
Mayuri,Karner,262,150-1852,NORTH FORT MYERS,NV,54950,S,Y,6000,4.6,700,400
Youpyo,Manchala,773,119-1943,CHICAGO,IL,60669,M,N,41000,3,0,0
Christino,Anick,224,108-1664,TOULON,IL,61483,M,Y,53000,3,0,2000
Igal,Hatakka,719,179-1683,LITTLETON,CO,80127,S,N,16000,4.63,0,0
Talel,Butterworth,843,182-1860,NEWBERRY,SC,29108,M,N,21500,7,0,0
Vasilii,Maginnis,732,155-2060,SPRINGFIELD,NJ,7081,M,N,31500,1.5813645,0,0
Brynjulf,Kapralski,505,107-1559,LAS CRUCES,NM,88013,M,Y,72500,5.3,0,3300
Hideo,Zullighoven,939,136-1955,BAYAMON,PR,959,M,N,6000,0,0,0
Stephan,Jolfaei,270,120-1202,LOUISVILLE,KY,40269,M,N,54500,4.861111,0,0
Heesung,Falla,567,129-1457,BOLIVAR,OH,44612,S,N,95000,3.6995387,1300,0
Aspassia,Milde,402,131-1787,MEAD,NE,68041,M,Y,62500,6.84,0,103
Phaiboon,Lechtenborger,307,110-1316,ALPINE,WY,83128,M,Y,83500,0,0,0
Paklin,Masullo,563,164-1576,HOSPERS,IA,51238,S,Y,1000,0.36,40,40
Anna,Poujol,214,175-1619,MABANK,TX,75147,M,N,96000,0,0,0
Naveena,Temoshenko,952,166-1034,FORBES,MN,55738,S,N,50500,6.9503202,3300,0
Laurie,Kranzdorf,769,144-1377,TIPPO,MS,38962,M,Y,94500,5,0,1500
Pedro,Verelst,419,155-1604,BERGHOLZ,OH,43908,M,Y,62000,2.6041079,0,1300
Shengrui,Torelli,505,110-1254,GILA,NM,88038,S,N,58500,5.3,3300,0
Yasuyuki,Nutt,989,183-2037,CARO,MI,48723,S,Y,33500,3.9,3100,3100
Stasys,Insfran,832,127-1029,DODGE,TX,77334,S,N,73500,0,0,0
Andrei,Kurata,802,174-1820,RUTLAND,VT,5702,M,N,71500,4.4276514,0,0
